movie_odid,display_name,release_date,territory,release_pattern,distributor
530100,Harry Potter and the Prisoner of Azkaban,2018-09-02,North America,Limited,
540100,Toy Story 2,1999-11-19,North America,Exclusive,Walt Disney
540100,Toy Story 2,1999-11-26,North America,Expands Wide,Walt Disney
550100,Raiders of the Lost Ark,1981-06-12,North America,Wide,Paramount Pictures
550100,Raiders of the Lost Ark,1982-07-16,North America,Wide,Paramount Pictures
550100,Raiders of the Lost Ark,2012-09-07,North America,IMAX,Paramount Pictures
560100,Cars,2006-05-01,Australia,Wide,
560100,Cars,2006-06-09,North America,Wide,Walt Disney
560100,Cars,2015-03-16,Australia,Limited,
570100,Bruce Almighty,2003-05-23,North America,Wide,Universal
590100,My Big Fat Greek Wedding,2002-04-19,North America,Wide,IFC Films
600100,Ghostbusters,1984-06-08,North America,Wide,Sony Pictures
600100,Ghostbusters,2011-10-13,North America,Special Engagement,Sony Pictures
600100,Ghostbusters,2011-10-20,North America,Special Engagement,Sony Pictures
600100,Ghostbusters,2011-10-27,North America,Special Engagement,Sony Pictures
600100,Ghostbusters,2014-08-29,North America,Wide,Sony Pictures
620100,X-Men: The Last Stand,2006-05-26,North America,Wide,20th Century Fox
630100,War of the Worlds,2005-06-29,North America,Wide,Paramount Pictures
640100,Cast Away,2000-12-22,North America,Wide,20th Century Fox
650100,The Lost World: Jurassic Park,1997-05-22,North America,Wide,Universal
660100,Signs,2002-08-02,North America,Wide,Walt Disney
670100,Hancock,2008-07-01,North America,Wide,Sony Pictures
680100,The Bourne Ultimatum,2007-08-03,North America,Wide,Universal
680100,The Bourne Ultimatum,2007-09-12,South Korea,Wide,
690100,Rush Hour 2,2001-08-03,North America,Wide,New Line
700100,WALL-E,2008-06-27,North America,Wide,Walt Disney
700100,WALL-E,2008-08-06,South Korea,Wide,
700100,WALL-E,2008-09-18,New Zealand,Wide,
710100,National Treasure: Book of Secrets,2007-12-20,Australia,Wide,
710100,National Treasure: Book of Secrets,2007-12-21,North America,Wide,Walt Disney
730100,King Kong,2005-12-14,North America,Wide,Universal
740100,Ghost,1990-07-13,North America,Wide,Paramount Pictures
740100,Ghost,2009-11-24,South Korea,Wide,
750100,The Da Vinci Code,2006-05-19,North America,Wide,Sony Pictures
770100,Alvin and the Chipmunks,2007-12-14,North America,Wide,20th Century Fox
780100,Saving Private Ryan,1998-07-24,North America,Wide,Dreamworks SKG
780100,Saving Private Ryan,2019-06-02,North America,Special Engagement,Fathom Events
790100,Kung Fu Panda,2008-06-06,North America,Wide,Paramount Pictures
790100,Kung Fu Panda,2008-06-06,North America,IMAX,Paramount Pictures
790100,Kung Fu Panda,2015-09-25,New Zealand,Wide,
800100,Mission: Impossible 2,2000-05-24,North America,Wide,Paramount Pictures
810100,X-Men 2,2003-05-02,North America,Wide,20th Century Fox
820100,Austin Powers in Goldmember,2002-07-25,North America,Wide,New Line
840100,Back to the Future,1985-07-03,North America,Wide,Universal
840100,Back to the Future,1985-08-16,Australia,Wide,
840100,Back to the Future,1987-07-17,South Korea,Wide,
840100,Back to the Future,2015-10-21,Mexico,Wide,
850100,Wedding Crashers,2005-07-15,North America,Wide,New Line
860100,Charlie and the Chocolate Factory,2005-07-15,North America,Wide,Warner Bros.
860100,Charlie and the Chocolate Factory,2005-07-15,North America,IMAX,Warner Bros.
870100,Ratatouille,2007-06-29,North America,Wide,Walt Disney
880100,Austin Powers: The Spy Who Shagged Me,1999-06-10,North America,Wide,New Line
890100,Batman Begins,2005-06-15,North America,Wide,Warner Bros.
900100,Terminator 2: Judgment Day,1991-01-02,Portugal,Wide,
900100,Terminator 2: Judgment Day,1991-07-02,North America,Wide,Sony Pictures
900100,Terminator 2: Judgment Day,2017-08-25,Australia,Wide,
900100,Terminator 2: Judgment Day,2017-08-25,Lithuania,Wide,
900100,Terminator 2: Judgment Day,2017-08-25,Netherlands,Wide,
900100,Terminator 2: Judgment Day,2017-08-25,New Zealand,Wide,
900100,Terminator 2: Judgment Day,2017-08-25,North America,Limited,Distrib Films
900100,Terminator 2: Judgment Day,2017-08-25,Russia (CIS),Wide,
900100,Terminator 2: Judgment Day,2017-08-25,Turkey,Wide,
900100,Terminator 2: Judgment Day,2017-09-01,Slovakia,Wide,
900100,Terminator 2: Judgment Day,2017-09-08,Czech Republic,Wide,
910100,The Exorcist,1973-12-26,North America,Wide,Warner Bros.
910100,The Exorcist,2000-09-22,North America,Wide,Warner Bros.
910100,The Exorcist,2010-09-30,North America,Special Engagement,Warner Bros.
920100,The Mummy Returns,2001-05-04,North America,Wide,Universal
940100,Superman Returns,2006-06-28,North America,Wide,Warner Bros.
940100,Superman Returns,2008-06-28,North America,IMAX,Warner Bros.
950100,Gone with the Wind,1939-12-15,North America,Exclusive,MGM
950100,Gone with the Wind,1941-01-17,North America,Wide,MGM
950100,Gone with the Wind,1942-03-31,North America,Wide,MGM
950100,Gone with the Wind,1947-08-21,North America,Wide,MGM
950100,Gone with the Wind,1954-06-03,North America,Wide,MGM
950100,Gone with the Wind,1961-03-10,North America,Wide,MGM
950100,Gone with the Wind,1967-10-14,North America,Wide,MGM
950100,Gone with the Wind,1974-09-18,North America,Wide,MGM
950100,Gone with the Wind,1989-02-03,North America,Limited,MGM
950100,Gone with the Wind,1998-06-26,North America,Limited,MGM
950100,Gone with the Wind,2019-02-28,North America,Special Engagement,Fathom Events
960100,Pearl Harbor,2001-05-25,North America,Wide,Walt Disney
970100,Monsters vs. Aliens,2009-03-27,North America,Wide,Paramount Pictures
970100,Monsters vs. Aliens,2009-03-27,North America,IMAX,Paramount Pictures
980100,Happy Feet,2006-11-17,North America,Wide,Warner Bros.
980100,Happy Feet,2006-11-17,North America,IMAX,Warner Bros.
1000100,Ice Age: The Meltdown,2006-03-31,North America,Wide,20th Century Fox
1010100,Ice Age: Dawn of the Dinosaurs,2009-07-01,Bulgaria,Wide,
1010100,Ice Age: Dawn of the Dinosaurs,2009-07-01,Lithuania,Wide,
1010100,Ice Age: Dawn of the Dinosaurs,2009-07-01,North America,Wide,20th Century Fox
1010100,Ice Age: Dawn of the Dinosaurs,2009-07-03,Ecuador,Wide,
1020100,Madagascar,2005-05-27,North America,Wide,Dreamworks SKG
1030100,Toy Story,1995-11-22,North America,Wide,Walt Disney
1030100,Toy Story,1995-11-29,Australia,Wide,
1030100,Toy Story,2015-02-21,Australia,Limited,
1040100,Twilight,2008-11-21,North America,Wide,Summit Entertainment
1040100,Twilight,2008-12-10,South Korea,Wide,
1040100,Twilight,2009-11-19,North America,Wide,Summit Entertainment
1040100,Twilight,2011-11-01,North America,Special Engagement,Summit Entertainment
1040100,Twilight,2012-11-15,North America,Special Engagement,Lionsgate
1040100,Twilight,2018-10-26,Australia,Wide,
1050100,Men in Black 2,2002-07-03,North America,Wide,Sony Pictures
1060100,Gladiator,2000-05-05,North America,Wide,Dreamworks SKG
1070100,The Day After Tomorrow,2004-05-28,North America,Wide,20th Century Fox
1080100,Mr. and Mrs. Smith,2005-06-10,North America,Wide,20th Century Fox
1130100,Ocean's Eleven,2001-12-07,North America,Wide,Warner Bros.
1140100,The Simpsons Movie,2007-07-27,North America,Wide,20th Century Fox
1150100,What Women Want,2000-12-15,North America,Wide,Paramount Pictures
1160100,The Perfect Storm,2000-06-30,North America,Wide,Warner Bros.
1170100,Grease,1978-06-16,North America,Wide,Paramount Pictures
1170100,Grease,1998-03-27,North America,Wide,Paramount Pictures
1170100,Grease,2010-07-08,North America,Limited,Paramount Pictures
1170100,Grease,2018-08-17,Australia,Wide,
1170100,Grease,2018-08-24,Mexico,Wide,
1180100,Liar Liar,1997-03-21,North America,Wide,Universal
1190100,Jurassic Park III,2001-07-18,North America,Wide,Universal
1210100,The Polar Express,2004-11-10,North America,Wide,Warner Bros.
1210100,The Polar Express,2009-11-06,North America,Limited,Warner Bros.
1210100,The Polar Express,2010-12-03,North America,IMAX,Warner Bros.
1210100,The Polar Express,2011-11-24,North America,IMAX,Warner Bros.
