movie_odid,display_name,release_odid,release_name,video_release_date,type,distributor
62470100,Heat and Dust,166700119,Heat and Dust,2017-12-12,Regular,Sony Pictures Home Entertainment
62490100,Jesus Camp,6840119,Jesus Camp,2007-01-23,,Magnolia Home Entertainment
62510100,Starting Out in the Evening,14550119,Starting Out in the Evening,2008-04-22,,Lionsgate Home Entertainment
62540100,September Dawn,12340119,September Dawn,2008-01-01,,Sony Pictures Home Entertainment
62560100,The Brothers Solomon,12740119,"Brothers Solomon, The",2007-12-25,,Sony Pictures Home Entertainment
62580100,Vers le sud,5840119,Heading South,2007-02-06,,Netflix
62650100,Tyson,29250119,Tyson,2009-08-18,,Sony Pictures Home Entertainment
62700100,Saawariya,15760119,Saawariya,2008-05-06,,Sony Pictures Home Entertainment
62760100,Pandora's Box,13490119,Pandora's Box,2002-12-31,,Sony Pictures Home Entertainment
62820100,The Hunting Party,11980119,"Hunting Party, The",2008-01-22,,Weinstein Co./Genius
62890100,Control,18160119,Control,2008-06-03,,Weinstein Co./Genius
62940100,Goodbye Solo,28460119,Goodbye Solo,2009-08-25,,Lionsgate Home Entertainment
62960100,My Blueberry Nights,18190119,My Blueberry Nights,2008-07-01,,Weinstein Co./Genius
63040100,Wendy and Lucy,25560119,Wendy and Lucy,2009-05-05,,Oscilloscope Video
63070100,Zatoichi,88230119,Zatoichi,2013-11-26,Regular,Criterion
63090100,Brigham City,13440119,Brigham City,2002-04-30,,Deseret Books
63100100,Sharkwater,16050119,Sharkwater,2008-04-08,,Warner Home Video
63110100,Faubourg 36,29380119,Paris 36,2009-08-11,,Sony Pictures Home Entertainment
63140100,Inland Empire,10200119,David Lynch's Inland Empire,2007-08-14,,Absurda / Rhino
63220100,Wie man sein leben kocht,15330119,How to Cook Your Life,2008-05-06,,Lionsgate Home Entertainment
63230100,Innocent Voices,12270119,Innocent Voices,2008-04-08,,Warner Home Video
63250100,La Reine Margot,98040119,Queen Margot,2014-08-26,Regular,eOne/Cohen
63620100,Echelon Conspiracy,28770119,Echelon Conspiracy,2009-07-21,,Paramount Home Video
63830100,Bloody Sunday,20440119,Bloody Sunday,2003-04-22,,Paramount Home Video
63850100,The Ten,14290119,"Ten, The",2008-01-15,,City Lights Home Entertainment
63890100,The Cove,31250119,The Cove,2009-12-08,,Lionsgate Home Entertainment
64010100,Cold Souls,41500119,Cold Souls,2010-03-02,Regular,Fox Home Entertainment
64060100,The Devil's Backbone,83870119,The Devil's Backbone,2013-07-30,Regular,Criterion
64100100,The Great Buck Howard,30280119,The Great Buck Howard,2009-07-21,,Magnolia Home Entertainment
64370100,SubUrbia,196050119,SubUrbia,2018-01-23,Regular,Warner Archive
64440100,Forever Strong,27950119,Forever Strong,2009-05-26,,Excel Entertainment Video
64640100,Mysterious Skin,92290119,Mysterious Skin,2014-03-20,Regular,Strand Home
64660100,The Girlfriend Experience,32020119,The Girlfriend Experience,2009-09-29,,Magnolia Home Entertainment
64710100,Happy Accidents,57730119,Happy Accidents,2002-12-17,,MGM Video
64760100,Fanboys,27650119,Fanboys,2009-05-19,,Weinstein Co./Genius
65060100,Beer for My Horses,23490119,Beer for My Horses,2008-11-11,,Lionsgate Home Entertainment
65130100,Dekalog,138460119,Dekalog,2003-08-19,Regular,Facets Video
65300100,Joe Gould's Secret,13340119,Joe Gould's Secret,2000-09-26,,Polygram USA Video
65320100,Dust to Glory,188020119,Dust to Glory,2005-08-23,Regular,MGM Video
65420100,The Stoning of Soraya M.,47420119,The Stoning of Soraya M.,2010-03-09,Regular,Lionsgate Home Entertainment
65520100,Un secret,25290119,"Secret, A",2009-03-10,,Strand Home
65640100,Obsluhoval jsem anglického krále,24370119,I Served the King of England,2009-02-17,,Sony Pictures Home Entertainment
65800100,Mean Creek,21140119,Mean Creek,2005-01-25,,Paramount Home Video
65810100,Vince Vaughn’s Wild West Comedy Show: 30 Days & 30 Nights—Hollywood to the Heartland,16460119,Vince Vaughn's Wild West Comedy Show,2008-06-03,,New Line Home Video
65890100,The Third Man,24770119,"Third Man, The",2007-05-22,,Criterion
65980100,Prefontaine,179710119,Prefontaine,2002-09-03,Regular,Walt Disney Home Entertainment
66090100,Orgazmo,112240119,Orgazmo,2015-05-12,Regular,Universal Home Entertainment
66120100,"War, Inc.",16950119,"War, Inc.",2008-10-14,,First Look DVD
66170100,House,26690119,House,2009-04-07,,Lionsgate Home Entertainment
66230100,Lemon Tree,31550119,Lemon Tree,2009-11-03,,Mpi Home Video
66290100,Poolhall Junkies,14740119,Poolhall Junkies,2003-08-26,,HBO Home Video
66380100,American Violet,31150119,American Violet,2009-10-13,,Image Entertainment/ThinkFilm
66440100,Romance and Cigarettes,11850119,Romance and Cigarettes,2008-02-12,,Sony Pictures Home Entertainment
66450100,All the Real Girls,13050119,All the Real Girls,2003-08-19,,Sony Pictures Home Entertainment
66650100,Nobel Son,26890119,Nobel Son,2009-01-23,,Fox Home Entertainment
66710100,Kids in America,18790119,Kids in America,2006-03-07,,Universal Home Entertainment
66730100,Bread and Roses,270119,Bread and Roses,2001-11-27,,Lionsgate Home Entertainment
66780100,Noah's Arc: Jumping the Broom,24610119,Noah's Arc: Jumping the Broom,2009-02-03,,Paramount Home Video
66840100,Le Mépris,47580119,Le Mepris,2010-02-16,Regular,Lionsgate Home Entertainment
66940100,Death of a President,7870119,Death of a President,2007-04-03,,Lionsgate Home Entertainment
66990100,A Guide to Recognizing Your Saints,5900119,"Guide to Recognizing Your Saints, A",2007-02-20,,First Look DVD
67120100,Tetro,47100119,Tetro,2010-05-04,Regular,Lionsgate Home Entertainment
67200100,The Return,179390119,The Return,2004-10-19,Regular,Kino Lorber
67250100,U-Carmen e-Khayelitsha,23760119,U-Carmen,2007-08-14,,Koch Vision
67330100,Bonneville,16930119,Bonneville,2008-06-24,,Fox Home Entertainment
67430100,Joshua,14060119,Joshua,2008-01-08,,Fox Home Entertainment
67470100,DOA: Dead or Alive,10790119,D.O.A. Dead or Alive,2007-09-11,,Weinstein Co./Genius
67550100,Little Ashes,34260119,Little Ashes,2010-01-26,,E1 Entertainment
67610100,Artie Lange's Beer League,5450119,Artie Lange's Beer League,2007-01-02,,Echo Bridge Home Entertainment
67680100,JCVD,25570119,JCVD,2009-04-28,,Peace Arch Home Entertainment
67910100,Le voyage du ballon rouge,21410119,Flight of the Red Balloon,2008-04-29,,IFC Video
67920100,Dnevnoy dozor,11320119,Day Watch,2007-10-30,,Fox Home Entertainment
68160100,Wristcutters: A Love Story,14170119,Wristcutters - A Love Story,2008-03-25,,Lionsgate Home Entertainment
68210100,The Heart of the Game,7180119,"Heart of the Game, The",2007-02-27,,Miramax Video
68230100,Idiocracy,5600119,Idiocracy,2007-01-09,,Fox Home Entertainment
68410100,My Life Without Me,14730119,My Life Without Me,2004-02-24,,Sony Pictures Home Entertainment
68420100,The Second Chance,3830119,"Second Chance, The",2006-07-18,,Sony Pictures Home Entertainment
68430100,When Do We Eat?,320119,When Do We Eat?,2006-08-22,,Arts Alliance America Video
68540100,The Limits of Control,30660119,The Limits of Control,2009-11-17,,Universal Home Entertainment
68580100,Conversations with God,7130119,Conversations with God,2007-02-27,,Fox Home Entertainment
68600100,Primer,13160119,Primer,2005-04-19,Regular,New Line Home Video
68630100,Lymelife,31480119,Lymelife,2009-09-22,,Screen Media/Universal
68650100,Divine Intervention,14840119,Diving Intervention (2005),2005-07-12,,Koch Vision
68730100,The Oh in Ohio,203830119,The Oh in Ohio,2009-10-06,Regular,
68770100,Interview,12800119,Interview,2007-12-11,,Sony Pictures Home Entertainment
68800100,In the Realms of the Unreal,34650119,In the Realms of the Unreal: The Mystery of Henry Darger,2005-06-21,,Fox Lorber
68820100,Gojira,186190119,Godzilla: The Original Japanese Version,2012-01-24,Regular,Criterion
68980100,The Promotion,21210119,"Promotion, The",2008-09-02,Regular,Weinstein Co./Genius
69000100,The Believer,16420119,"Believer, The",2003-04-22,,Lionsgate Home Entertainment
69050100,Preaching to the Choir,10310119,Preaching to the Choir,2006-06-06,,Codeblack Video
69100100,Snow Angels,21860119,Snow Angels,2008-09-16,,Warner Home Video
69110100,Fireworks,160740119,Fireworks,2017-09-19,Regular,Film Movement Video
69160100,Mafioso,12240119,Mafioso,2008-03-18,,Criterion
69230100,Manufactured Landscapes,75190119,Manufactured Landscapes,2012-12-11,Regular,Zeitgeist Home
69260100,Humpday,31830119,Humpday,2009-11-17,,Magnolia Home Entertainment
69440100,The Quiet,13630119,"Quiet, The",2007-02-13,,Sony Pictures Home Entertainment
69570100,Session 9,14080119,Session 9,2002-02-26,,Polygram USA Video
69630100,The Hunting of the President,138290119,The Hunting of the President,2016-10-04,Online Only,Virgil Films and Entertainment
69720100,Bent,194220119,Bent,2006-01-31,Regular,MGM Video
69740100,Towelhead,23590119,Towelhead,2008-12-30,,Warner Home Video
69770100,Shadowboxer,2230119,Shadowboxer,2006-11-07,,Codeblack Video
69950100,I'll Sleep When I'm Dead,16530119,I'll Sleep When I'm Dead,2004-11-16,,Paramount Home Video
69990100,Copying Beethoven,7930119,Copying Beethoven,2007-04-03,,MGM Video
70060100,Albino Alligator,115740119,Albino Alligator,2015-07-21,Regular,Lionsgate Home Entertainment
70090100,Everybody Wants to Be Italian,23910119,Everybody Wants to Be Italian,2009-02-03,,Lionsgate Home Entertainment
70150100,Marilyn Hotchkiss' Ballroom Dancing and Charm School,14650119,Marilyn Hotchkiss' Ballroom Dancing & Charm School,2006-07-04,,Sony Pictures Home Entertainment
70190100,The Merry Gentleman,38990119,The Merry Gentleman,2009-11-10,,Genius Products
70400100,Sleuth,14040119,Sleuth,2008-03-11,,Sony Pictures Home Entertainment
70620100,Hurricane Streets,43690119,Hurricane Streets,1998-11-17,Regular,MGM Video
70650100,Ladri di biciclette,127490119,The Bicycle Thief,2007-02-13,Regular,Criterion
70870100,Russian Dolls,2220119,Russian Dolls,2006-09-26,,IFC Video
