movie_odid,display_name,rental_revenue,vod_revenue,rental_and_vod_revenue,streaming_revenue,est_revenue
3440100,Spy Kids,,356383,,,
3460100,District 9,,127834,37611360,,2999472
3470100,Face/Off,,,,,
3490100,Spy Kids 3-D: Game Over,,,,,
3500100,Inglourious Basterds,,38700945,36380119,,4264653
3510100,Doctor Zhivago,,17296,,,
3530100,The Little Mermaid,,1797887,,,24851688
3540100,The Last Samurai,,43209,,,
3550100,Fun With Dick And Jane,,144,,,
3560100,Tropic Thunder,,38142,,,
3570100,The Grudge,,,,,
3590100,Bedtime Stories,,,,,
3630100,The 40 Year-old Virgin,,,,,
3650100,One Flew Over the Cuckoo's Nest,,25991,,,
3670100,Black Hawk Down,,,,,
3700100,The Princess Diaries,,546429,,,
3720100,Pulp Fiction,,2140226,,,1836628
3740100,Watchmen,,215584,0,,2221735
3760100,Analyze This,,,,,
3770100,Miss Congeniality,,84132,,,
3780100,Chicken Run,,,,,
3810100,Goldeneye,,,,,
3840100,The Italian Job,,38022,,,
3900100,The Graduate,,,,,
3940100,Road to Perdition,,2113241,,,
3960100,Dreamgirls,,40240,,,
4020100,The Aviator,,,,,
4030100,Daredevil,,,,,
4040100,The Mummy: Tomb of the Dragon Emperor,,,,,
4080100,American Pie,,,,,
4090100,Journey to the Center of the Earth,,,,,
4100100,Gone in 60 Seconds,,,,,
4130100,Eagle Eye,,44543,,,
4140100,The Prince of Egypt,,,,,
4150100,Scream 2,,331614,,,
4190100,Con Air,,,,,
4200100,Sleepy Hollow,,,,,
4210100,The Cat in the Hat,,2045077,,,646785
4250100,Vanilla Sky,,,,,
4270100,Million Dollar Baby,,6036,,,
4290100,Step Brothers,,3480307,,,
4320100,Shakespeare in Love,,12037,,,
4330100,Evan Almighty,,,,,
4340100,Collateral,,307274,,,
4380100,You Don't Mess With the Zohan,,2976,,,
4400100,Hercules,,3786477,,,502871
4430100,Meet the Robinsons,,1494324,0,,
4440100,Yes Man,,79857,,,
4460100,Public Enemies,,100898,41858120,,1625312
4470100,The Others,,,,,
4490100,Schindler’s List,,118880,0,,4882908
4510100,Norbit,,,,,
4540100,Panic Room,,,,,
4550100,The Princess Diaries 2: Royal Engagement,,431909,,,
4560100,Unbreakable,,3708544,,,
4580100,Beverly Hills Chihuahua,,,,,
4590100,He's Just Not That Into You,,145423,0,,
4600100,Maid in Manhattan,,,,,
4610100,Master and Commander: The Far Side of the World,,118826,,,
4620100,The Mask of Zorro,,,,,
4640100,Lady and the Tramp,,653367,,,9856147
4660100,The Bucket List,,,,,
4670100,Cats & Dogs,,,,,
4680100,Two Weeks Notice,,77175,,,
4710100,Red Dragon,,,,,
4720100,When Harry Met Sally…,,744171,,,
4810100,The Karate Kid,,384744,,,
4830100,Scary Movie 4,,,,,
4840100,The Game Plan,,,,,
4860100,The Scorpion King,,,,,
4880100,High School Musical 3: Senior Year,,1923652,,,
4890100,Madea Goes To Jail,,,0,,
4920100,Space Cowboys,,10478,,,
4940100,Mystic River,,29962,,,
4950100,Flightplan,,,,,
4960100,Julie & Julia,,441960,24012743,,2735882
4980100,The Emperor's New Groove,,103843,,,
4990100,Scream 3,,,,,
5010100,Failure to Launch,,,,,
5020100,Inside Man,,240402,0,,
5030100,The Ugly Truth,,,38334718,,1381687
5050100,Starsky & Hutch,,,,,
5080100,Entrapment,,6504,,,
5100100,Peter Pan,,5384911,,,8742096
5110100,Pineapple Express,,1952129,0,,
5130100,Saw II,,,,,
5180100,Young Frankenstein,,,,,3615221
5190100,Mean Girls,,1233399,,,
5200100,Spy Kids 2: The Island of Lost Dreams,,,,,
5220100,SpongeBob SquarePants: The Movie,,,,,
5230100,Brother Bear,,,,,
5270100,Open Season,,,,,
5280100,Cinderella,,32823095,,,12863294
5300100,The Santa Clause 3: The Escape Clause,,,,,
5330100,Anchorman: The Legend of Ron Burgundy,,,,,1948538
5360100,The X Files: Fight the Future,,,,,
5440100,Valkyrie,,,,,
5450100,Brokeback Mountain,,,,,
5470100,Charlotte's Web,,19165,,,
5480100,Monster-in-Law,,,,,
5510100,Freddy vs. Jason,,,,,
5530100,Cheaper by the Dozen 2,,,,,
5560100,Bridge to Terabithia,,,,,
5570100,The Pink Panther,,,,,
5580100,Beowulf,,,,,
5590100,Blade 2,,,,,
5600100,Eight Below,,,,,
5620100,Payback,,,,,
5640100,Die Hard,,1458875,,,
5650100,The Talented Mr. Ripley,,,,,
5730100,The Notebook,,1865380,0,,5440498
5740100,Jimmy Neutron: Boy Genius,,,,,
5750100,Alien,,286009,,,
5780100,The Texas Chainsaw Massacre,,,,,
5810100,What Happens in Vegas...,,,,,
5820100,The Dukes of Hazzard,,,,,
5830100,The Wedding Singer,,38957,,,
5840100,Saw III,,,,,
5850100,Disturbia,,,,,
5860100,Nacho Libre,,,,,
5870100,Jumper,,,,,
5880100,Cloverfield,,560274,0,,
5910100,Knowing,,54000,0,,500525
5940100,Space Station,,,,,
5960100,Hannah Montana the Movie,,,0,,659374
5970100,The Day the Earth Stood Still,,,,,
6010100,City of Angels,,,,,
6040100,Artificial Intelligence: AI,,556924,,,
6100100,Gangs of New York,,252064,,,
6120100,La marche de l'empereur,,,,,
6140100,U-571,,,,,
6150100,The Terminal,,514288,,,
6220100,Training Day,,266463,,,
6250100,Conspiracy Theory,,,,,
6260100,Hellboy II: The Golden Army,,,,,1647953
6270100,Constantine,,,,,
6280100,The Ring Two,,,,,
6300100,The Haunted Mansion,,17219,,,
6310100,"You, Me and Dupree",,,,,
6320100,Barbershop,,154725,,,
6330100,The Family Man,,115595,,,
6350100,The Rookie,,,,,
6390100,Garfield: The Movie,,,,,
6400100,Ray,,,,,
6410100,Coraline,,569004,0,,1875712
6440100,The Exorcism of Emily Rose,,,,,
6450100,Eragon,,,,,
6490100,Ladder 49,,,,,
6500100,Four Brothers,,,,,
6530100,No Country for Old Men,,1498892,,,1892129
6540100,Sin City,,210583,,,
6560100,Christmas with the Kranks,,,,,
6580100,Monster House,,109371,,,1766479
6590100,Deep Blue Sea,,,,,
6600100,Beetlejuice,,2217695,,,3793390
6610100,Spirit: Stallion of the Cimarron,,,,,
6630100,Hotel for Dogs,,,,,
6640100,Ben-Hur,,,,,586317
6650100,Barnyard: The Original Party Animals,,,,,
6660100,Jackass: Number Two,,,,,
6670100,The Interpreter,,,,,
6690100,Vantage Point,,,,,
6700100,I Know What You Did Last Summer,,,,,
6730100,Fred Claus,,48506,,,
6740100,My Fair Lady,,,,,
6760100,R.V.,,,,,
6820100,Sideways,,46673,,,
6830100,Bridget Jones's Diary,,1039996,,,
6840100,"I Love You, Man",,1440400,0,,437799
6850100,Galaxy Quest,,8560,,,
6890100,The Spiderwick Chronicles,,,,,
6920100,John Q,,,,,
6980100,V for Vendetta,,673533,,,762744
7030100,World Trade Center,,8173,,,
7040100,Rocky Balboa,,818802,,,
7050100,Fool's Gold,,,,,
7080100,Big Momma's House 2,,,,,
7090100,Blade,,,,,
