movie_odid,display_name,production_company,billing,financing,in association with,production
15410100,Bounce,Steve Golin/Michael Besman,1,,,
15510100,Freedom Writers,MTV Films,1,,,
15510100,Freedom Writers,Double Feature Films,2,,,
15510100,Freedom Writers,Jersey Films,3,,,
15520100,Accepted,Universal Pictures,1,,,1
15600100,The Thin Red Line,Phoenix Pictures,1,,,
15620100,Death Race,Relativity Media,,,,
15670100,The Sentinel,20th Century Fox,1,1,,
15670100,The Sentinel,Regency Enterprises,2,1,,
15670100,The Sentinel,Further Films,3,,,1
15670100,The Sentinel,New Regency,4,,,1
15740100,Derailed,Weinstein Company,1,1,,
15740100,Derailed,Miramax Films,2,1,,
15740100,Derailed,di Bonaventura Pictures,3,,,1
15740100,Derailed,Patalex V Productions Limited,4,,1,1
15850100,The Island,Parkes+Macdonald Productions,1,,,1
15870100,Changeling,Universal Pictures,1,,,1
15870100,Changeling,Imagine Entertainment,2,,,1
15880100,Murder on the Orient Express,Paramount Pictures,1,1,,
15880100,Murder on the Orient Express,EMI Films,2,1,1,
15880100,Murder on the Orient Express,John Brabourne - Richard Goodwin Productions,3,,,1
15920100,Smokin' Aces,Working Title Films,1,,,1
15960100,Children of Men,Universal Pictures,1,,,1
15960100,Children of Men,Strike Entertainment,2,,,1
15990100,Cloudy with a Chance of Meatballs,Columbia Pictures,1,1,,
15990100,Cloudy with a Chance of Meatballs,Sony Pictures Animation,2,,,1
16060100,Intolerable Cruelty,Universal Pictures,1,1,,
16060100,Intolerable Cruelty,Imagine Entertainment,2,1,,
16060100,Intolerable Cruelty,Brian Grazer Productions,3,,,1
16090100,The Flintstones in Viva Rock Vegas,Amblin Entertainment,,,,
16120100,The Number 23,Contrafilm,1,,,1
16120100,The Number 23,Firm Films,2,,,1
16140100,K-19: The Widowmaker,National Geographic Entertainment,1,,,1
16140100,K-19: The Widowmaker,Palomar Pictures,2,,,1
16140100,K-19: The Widowmaker,First Light,3,,,1
16140100,K-19: The Widowmaker,IMF,4,,,1
16150100,Star Wars: The Clone Wars,Lucasfilm,1,,,1
16190100,Deck the Halls,Regency Enterprises,1,1,,
16190100,Deck the Halls,New Regency,2,,,1
16190100,Deck the Halls,Corduroy Films,3,,,1
16200100,The Hot Chick,Les Films des Tourelles,1,,,
16390100,Cradle 2 the Grave,Silver Pictures,1,,,1
16400100,Jack Frost,Azoff Entertainment,1,,,1
16400100,Jack Frost,Canton Company,2,,,1
16440100,Man on the Moon,Jersey Films,1,,,
16520100,Eternal Sunshine of the Spotless Mind,Anonymous Content,1,,,1
16520100,Eternal Sunshine of the Spotless Mind,This is That,2,,,1
16560100,Malibu's Most Wanted,Karz Entertainment,1,,,1
16570100,Babel,Anonymous Content,1,,,1
16570100,Babel,Una Produccion De Zeta Film,2,,,1
16570100,Babel,Central Films,3,,,1
16580100,Alexander,Intermedia Film,1,1,,
16580100,Alexander,Moritz Borman,2,,,1
16580100,Alexander,IMF,3,,,1
16620100,The Reader,Mirage Enterprises,1,,,
16620100,The Reader,Neunte Babelsberg Films GmbH,2,,,
16690100,Snakes on a Plane,Mutual Film Company,1,,,1
16700100,Closer,Avenue Pictures Productions,,,,
16720100,She's the Man,Donners’ Company,1,,,1
16730100,Mickey Blue Eyes,Castle Rock Entertainment,1,1,,
16730100,Mickey Blue Eyes,Simian Films,2,,,1
16800100,Dreamcatcher,Village Roadshow Productions,,,,
16800100,Dreamcatcher,Castle Rock Entertainment,,,,
16810100,The Punisher,Lionsgate,1,,,
16810100,The Punisher,Marvel Studios,2,,,
16830100,Flags of Our Fathers,Malpaso Productions,,,,
16830100,Flags of Our Fathers,DreamWorks Pictures,,,,
16830100,Flags of Our Fathers,Amblin Entertainment,,,,
16860100,The Constant Gardener,Potboiler Productions,1,,,1
16870100,I Spy,Columbia Pictures,1,,,1
16900100,Semi-Pro,Mosaic Media,1,,,1
16940100,Black Knight,Regency Enterprises,1,1,,
16940100,Black Knight,20th Century Fox,2,1,,
16940100,Black Knight,New Regency,3,,,1
16940100,Black Knight,Runteldat Entertainment,4,,,1
16940100,Black Knight,The Firm,5,,,1
17000100,Mr. Bean’s Holiday,Universal Pictures,1,1,,
17000100,Mr. Bean’s Holiday,StudioCanal,2,1,1,
17000100,Mr. Bean’s Holiday,Working Title Films,3,,,1
17000100,Mr. Bean’s Holiday,Tiger Aspect Pictures,4,,1,1
17000100,Mr. Bean’s Holiday,Motion Picture Alpha Produktionsgesellschaft,5,1,1,
17120100,Zodiac,Phoenix Pictures,1,,,
17140100,Dracula 2000,Dimension Films,1,,,
17140100,Dracula 2000,Neo Art & Logic,2,,,
17240100,Balls of Fury,Spyglass Entertainment,,,,
17250100,In Her Shoes,Fox 2000 Pictures,1,,,1
17270100,Drillbit Taylor,Paramount Pictures,1,1,,
17270100,Drillbit Taylor,Apatow Productions,2,,,1
17270100,Drillbit Taylor,Roth Productions,3,,,1
17270100,Drillbit Taylor,Arnold Productions,4,,,1
17280100,Dreamer: Inspired by a True Story,DreamWorks Pictures,,,,
17360100,Taking Lives,"Taking Lives Pictures, Inc.",1,,,1
17360100,Taking Lives,Village Roadshow Productions,2,,,1
17360100,Taking Lives,Mark Canton,3,,,1
17390100,Blade Runner,Warner Bros.,1,,,
17390100,Blade Runner,Ladd Company,2,,,
17390100,Blade Runner,Shaw Brothers Pictures,3,,,
17420100,Because of Winn-Dixie,Walden Media,,,,
17450100,Proof of Life,Castle Rock Entertainment,1,,,1
17460100,Just Friends,Benderspinkland Cinezeta,1,,,1
17460100,Just Friends,Inferno Distribution,2,,1,1
17470100,Bend it Like Beckham,Fox Searchlight Pictures,1,1,,
17470100,Bend it Like Beckham,Kintop Pictures,2,1,,1
17470100,Bend it Like Beckham,UK Film Council,3,1,1,
17470100,Bend it Like Beckham,Filmforderung Hamburg,4,1,1,
17470100,Bend it Like Beckham,Helkon Media,5,1,1,
17470100,Bend it Like Beckham,The Works Film Group,6,1,1,
17470100,Bend it Like Beckham,Future Film Financing,7,1,1,
17470100,Bend it Like Beckham,Bend It Films,8,,,1
17470100,Bend it Like Beckham,Roc Media,9,,,1
17470100,Bend it Like Beckham,Road Movies Filmproduktion,10,,,1
17480100,Darkness Falls,Village Roadshow Productions,,,,
17480100,Darkness Falls,Revolution Studios,,,,
17490100,Almost Famous,DreamWorks Pictures,,,,
17590100,"Definitely, Maybe",Working Title Films,,,,
17630100,Analyze That,Tribeca Film,1,,,
17630100,Analyze That,Village Roadshow Productions,2,,,
17640100,Stealth,Columbia Pictures,1,,,1
17690100,Mr. Magorium's Wonder Emporium,Mandate Pictures,1,,,
17690100,Mr. Magorium's Wonder Emporium,Walden Media,2,,,
17740100,Earth,BBC Worldwide,1,1,0,0
17740100,Earth,Greenlight Media,2,1,0,0
17740100,Earth,BBC Natural History Unit,3,0,0,1
17740100,Earth,Disney Nature,4,,,
17750100,Cellular,Electric Entertainment,1,,,1
17830100,Murder by Numbers,Castle Rock Entertainment,1,,,1
17850100,Milk,Groundswell Productions,1,,,1
17850100,Milk,Jinks/Cohen Company,2,,,1
17910100,The Wedding Date,Gold Circle Films,,,,
17920100,The Soloist,Krasnoff/Foster Entertainment,1,,,1
17920100,The Soloist,Working Title Films,2,,1,1
17940100,Quarantine,Screen Gems,1,1,,
17940100,Quarantine,Vertigo Entertainment,2,,,1
17940100,Quarantine,Andale Pictures,3,,,1
17940100,Quarantine,Filmax Entertainment,4,,,1
18010100,From Hell,Underworld Pictures,2,,,1
18010100,From Hell,20th Century Fox,1,1,,
18030100,United 93,Universal Pictures,1,1,,
18030100,United 93,StudioCanal,2,1,,
18030100,United 93,Working Title Films,3,,,1
18070100,"Good Night, and Good Luck",Participant Media,,,,
18070100,"Good Night, and Good Luck",Section Eight,,,,
18110100,Zack and Miri Make a Porno,Weinstein Company,1,,,1
18110100,Zack and Miri Make a Porno,View Askew,2,,,1
18120100,The Eye,Lionsgate,1,1,,1
18120100,The Eye,Paramount Vantage,2,1,,
18120100,The Eye,C/W Productions,3,,,1
18120100,The Eye,Vertigo Films,4,,1,1
18140100,Leatherheads,Universal Pictures,1,,,1
18270100,How High,Jersey Films,1,,,
18290100,The Core,Paramount Pictures,1,1,,
18290100,The Core,David Foster,2,,,1
18290100,The Core,Cooper Layne,3,,,1
18290100,The Core,Sean Bailey,4,,,1
18340100,Calendar Girls,Touchstone Pictures,1,1,,
18340100,Calendar Girls,Harbour Pictures,2,,,1
18350100,Get Rich or Die Tryin',MTV Films,,,,
18420100,The Legend of Bagger Vance,Wildwood Enterprises,1,,,
18420100,The Legend of Bagger Vance,Allied,2,,,
18440100,Mirrors,Regency Enterprises,1,1,,
18440100,Mirrors,New Regency,2,,,1
18460100,Dogma,View Askew,1,,,1
18630100,The Fighting Temptations,MTV Films,,,,
18640100,The Great Debaters,Harpo Films,1,,,1
18660100,Hollywood Homicide,Columbia Pictures,1,1,,
18660100,Hollywood Homicide,Revolution Studios,2,1,,
18660100,Hollywood Homicide,Lou Pitt,3,,,1
18660100,Hollywood Homicide,Ron Shelton,4,,,1
18720100,Ghost Ship,Village Roadshow Productions,,,,
18740100,Snatch,SKA Films,1,,,1
18750100,Elizabeth,Working Title Films,,,,
18770100,Dragonfly,Spyglass Entertainment,,,,
18780100,The Bank Job,Relativity Media,,,,
18790100,Jay and Silent Bob Strike Back,View Askew,1,,,1
18930100,Magnificent Desolation,IMAX Corporation,1,,,
18950100,Double Take,Touchstone Pictures,1,1,0,
18950100,Double Take,Permut Presentations,2,,,1
18950100,Double Take,Rat Entertainment,3,,,1
19040100,The Fog,Revolution Studios,,,,
19090100,Spice World,Columbia Pictures,1,1,,
19090100,Spice World,Spice Productions,2,,,1
19090100,Spice World,Fragile Films,3,,,1
19090100,Spice World,PolyGram Filmed Entertainment,4,,1,1
19090100,Spice World,Icon Entertainment International,5,,1,1
19200100,Rent,1492 Pictures,1,,,
19320100,"Girl, Interrupted",Red Wagon Entertainment,,,,
19420100,Father's Day,Silver Pictures,,,,
19430100,Defiance,Paramount Vantage,1,1,,
19430100,Defiance,Grosvenor Park,2,,,1
19430100,Defiance,Bedford Falls,3,,,1
19540100,Employee of the Month,Tapestry Films,,,,
19560100,Garfield: A Tail of Two Kitties,Davis Entertainment,,,,
19660100,Doom,Universal Pictures,1,1,,
19660100,Doom,John Wells Productions,2,,,1
19660100,Doom,di Bonaventura Pictures,3,,,1
19770100,Zathura,Columbia Pictures,1,1,,
19770100,Zathura,Radar Pictures,2,,,1
19770100,Zathura,Teitler Film,3,,,1
19770100,Zathura,Michael De Luca,4,,,1
19780100,Johnny English,Universal Pictures,1,1,,
19780100,Johnny English,StudioCanal,2,1,,
19780100,Johnny English,Working Title Films,3,,,1
19850100,Crank,Lakeshore Entertainment,,,,
19860100,The Other Sister,Touchstone Pictures,1,,,1
19880100,The Majestic,Castle Rock Entertainment,1,1,,
19880100,The Majestic,Village Roadshow Productions,2,,1,
19880100,The Majestic,NPV Entertainment,3,,1,
19880100,The Majestic,Darkwoods,4,,,1
19920100,Hannibal Rising,Metro-Goldwyn-Mayer Pictures,1,1,,
19920100,Hannibal Rising,Weinstein Company,2,1,,
19920100,Hannibal Rising,Dino De Laurentiis,3,,,1
19920100,Hannibal Rising,Quinta Communications,4,,1,1
19920100,Hannibal Rising,Ingenious Film Partners,5,,1,1
19950100,All About Steve,Fortis Films,,,,
20060100,Someone Like You,Fox 2000 Pictures,1,,,1
20090100,High Fidelity,Touchstone Pictures,1,,,
20210100,The Big Hit,Tri-Star Pictures,1,,,1
20310100,The Missing,Revolution Studios,1,,,1
20310100,The Missing,Imagine Entertainment,2,,,1
20330100,XXX: State of the Union,Revolution Studios,1,,,1
20350100,The Other Boleyn Girl,Universal Pictures International,1,1,,
20350100,The Other Boleyn Girl,Columbia Pictures,2,1,,
20350100,The Other Boleyn Girl,BBC Films,3,1,1,
20350100,The Other Boleyn Girl,Relativity Media,4,1,1,
20350100,The Other Boleyn Girl,Ruby Films,5,,,1
20350100,The Other Boleyn Girl,Scott Rudin Productions,6,,,1
20380100,Garden State,Double Feature Films,1,,,
20380100,Garden State,Jersey Films,2,,,
20450100,Basic,Columbia Pictures,1,,,1
20450100,Basic,Intermedia Film,2,,,1
20530100,A Man Apart,Vincent Newman,1,,,1
20530100,A Man Apart,Tucker Tooley,2,,,1
20530100,A Man Apart,Joseph Nittolo Entertainment ,3,,,1
20540100,Sinbad: Legend of the Seven Seas,Dreamworks LLC,1,,,1
20540100,Sinbad: Legend of the Seven Seas,DreamWorks Animation,2,,,
20570100,Street Kings,3 Arts Entertainment,1,,,1
20570100,Street Kings,Fox Searchlight Pictures,2,1,,
20570100,Street Kings,Regency Enterprises,3,1,,
20580100,Boogie Nights,New Line Cinema,1,1,,
20580100,Boogie Nights,Lawrence Gordon,2,,,1
20720100,Blood Work,Malpaso Productions,,,,
20740100,The Descent,Celador Films,1,1,,1
20740100,The Descent,Northmen Productions,2,,1,1
20830100,Shutter,Regency Enterprises,1,1,,
20830100,Shutter,New Regency,2,,,1
20830100,Shutter,Vertigo Entertainment,3,,,1
20840100,The Nanny Diaries,Weinstein Company,1,,,1
20850100,Howards End,Merchant Ivory Productions,1,1,,1
20950100,Murder at 1600,Regency Enterprises,1,1,,
20990100,From Dusk Till Dawn,A Band Apart,1,,,1
20990100,From Dusk Till Dawn,Los Hooligans,2,,,1
21080100,Nancy Drew,Warner Bros.,1,1,,
21080100,Nancy Drew,Virtual Studios,2,,1,1
21080100,Nancy Drew,Jerry Weintraub,3,,,1
21110100,Memento,Newmarket Films,1,1,,
21110100,Memento,Summit Entertainment,2,,,1
21110100,Memento,Team Todd,3,,,1
21140100,W.,Moritz Borman,1,,,
21140100,W.,Ixtlan Productions,2,,,
21170100,Captain Corelli's Mandolin,Working Title Films,,,,
21240100,Dark Water,Touchstone Pictures,1,1,0,0
21240100,Dark Water,Pandemonium,2,0,0,1
21240100,Dark Water,Vertigo Films,3,0,0,1
21370100,Jersey Girl,View Askew,1,,,1
21430100,Twisted,Kopelson Entertainment,1,,,1
21440100,Nurse Betty,Gramercy Pictures,1,1,,
21440100,Nurse Betty,Propaganda Films,2,,,1
21440100,Nurse Betty,AB'-Strakt Pictures,3,,,1
21440100,Nurse Betty,IMF,4,,,1
21530100,Midnight in the Garden of Good and Evil,Warner Bros.,1,,,1
21560100,Grindhouse,Dimension Films,1,,,1
21560100,Grindhouse,Troublemaker Studios,2,,,1
21720100,Thank You For Smoking,Room 9 Entertainment,1,1,,
21720100,Thank You For Smoking,David O. Sacks,2,,,1
21720100,Thank You For Smoking,Content Film,3,,1,1
21730100,Waking Ned Devine,Fox Searchlight Pictures,1,1,,
21730100,Waking Ned Devine,Tomboy Films,2,1,,
21730100,Waking Ned Devine,The Gruber Brothers,3,1,1,
21730100,Waking Ned Devine,Mainstream S.A.,4,1,1,
21730100,Waking Ned Devine,Bonaparte Films,5,1,1,
21730100,Waking Ned Devine,Canal Plus,6,1,1,
21730100,Waking Ned Devine,Isle of Man Film Comission,7,1,1,
21730100,Waking Ned Devine,Overseas Film Group,8,1,1,
21880100,Danny the Dog,Rogue Pictures,1,1,,
21880100,Danny the Dog,EuropaCorp,2,,,1
